,Lon,Lat,Alt,Eco,FROM,Region,flux,MAT
270,127.7,45.4,NA,Forest,N-SRDB,China,759.75,1.382266593
271,101.29,37.62,3250,Grassland,N-SRDB,China,780.5,-0.079097011
272,102.55,32.8,3600,Grassland,N-SRDB,China,1091,2.034993851
273,107.68,35.23,1220,Grassland,N-SRDB,China,574.5,10.6388573
274,123.76,46,142,Grassland,N-SRDB,China,219,5.523630137
275,100.85,36.95,3140,Grassland,N-SRDB,China,452.156666666667,1.73302416066667
276,124.03,45.75,1130,Grassland,N-SRDB,China,203,5.637721043
277,115.71,29.29,60,Grassland,N-SRDB,China,1145,19.43044801
278,117.65,27.74,2100,Grassland,N-SRDB,China,844,10.45499366
279,99.93,38.42,3050,Grassland,N-SRDB,China,939,-0.892733356
280,104.15,35.95,1966,Grassland,N-SRDB,China,214.5,8.419993708
281,100.22,34.46,3947,Grassland,N-SRDB,China,473,0.612721156
282,92.94,34.73,4700,Grassland,N-SRDB,China,308.5,-4.750005997
283,101.2,37.5,3200,Grassland,N-SRDB,China,696,-3.418460573
284,116.83,43.51,1343,Grassland,N-SRDB,China,254.325,1.68965295
285,116.55,43.54,1130,Grassland,N-SRDB,China,148,2.982721103
286,115.9,44.09,970,Grassland,N-SRDB,China,122.8875,3.423289275
287,100,38.24,2500,Grassland,N-SRDB,China,476,0.168175711
288,100.01,38.24,2600,Grassland,N-SRDB,China,452,-0.790460631
289,100.01,38.23,2700,Grassland,N-SRDB,China,423,-0.790460631
290,100.02,38.23,2800,Grassland,N-SRDB,China,384,-0.790460631
291,100.03,38.23,2900,Grassland,N-SRDB,China,365,-0.790460631
292,100.03,38.22,3000,Grassland,N-SRDB,China,310,-0.790460631
293,106.43,36.27,1974,Grassland,N-SRDB,China,581,7.634993726
294,118.05,32,6,Grassland,N-SRDB,China,1160.625,15.87567536
295,120.05,49.32,628,Grassland,N-SRDB,China,519.1,-1.295006075
296,116.68,43.57,1225,Grassland,N-SRDB,China,375,2.041812033
297,116.91,44.09,923,Grassland,N-SRDB,China,128,2.213630211
298,107.67,35.22,1095,Grassland,N-SRDB,China,583,11.38192546
299,115.68,41.77,1380,Grassland,N-SRDB,China,1812,3.104084737
300,114.25,37.9,374,Grassland,N-SRDB,China,602.85,13.08658452
301,116.27,44.81,1160,Grassland,N-SRDB,China,252,3.360902912
302,104.42,36.03,2400,Grassland,N-SRDB,China,484.994285714286,5.07687689971429
303,121.52,31.65,4,Grassland,N-SRDB,China,2407,16.9918117
304,117.32,36.28,730,Grassland,N-SRDB,China,429,15.17317538
305,116.68,43.55,1200,Grassland,N-SRDB,China,278,2.041812033
306,114.24,37.91,350,Grassland,N-SRDB,China,710,12.56635725
307,105.47,31.27,500,Grassland,N-SRDB,China,480,17.30226624
308,114.4,37,NA,Cropland,SRDB,China,199,13.62999359
309,116.93,28.26,NA,Cropland,SRDB,China,547.75,18.47999348
310,105.47,31.27,500,Cropland,SRDB,China,241.4425,17.6774935
311,117.43,26.19,NA,Forest,SRDB,China,866.650769230769,20.6046088169231
312,116.78,43.55,1225,Grassland,SRDB,China,375,1.40666053166667
313,115.91,44.09,923,Grassland,SRDB,China,128.666666666667,3.499993818
314,116.25,44,1225,Grassland,SRDB,China,185.2,2.251993846
315,114.37,30.03,NA,Cropland,SRDB,China,308,18.18999349
316,114.37,30.03,NA,Forest,SRDB,China,181,18.18999349
317,111.45,28.92,NA,Cropland,SRDB,China,554.333333333333,17.54332684
318,112.54,23.15,250,Forest,SRDB,China,808,22.77999339
319,109.75,26.83,335,Forest,SRDB,China,829,17.7399935
320,93.08,35.22,4767,Grassland,SRDB,China,79.605,-4.990005992
321,110.5,31,382,Forest,SRDB,China,185,16.04999354
322,117.83,26.42,NA,Forest,SRDB,China,915,20.13499345
323,116.55,43.59,1130,Grassland,SRDB,China,184.816666666667,2.64332717066667
324,113.02,28.1,80,Forest,SRDB,China,492.258,18.61399348
325,120,30.37,150,Forest,SRDB,China,1151,17.7899935
326,112,33.5,1450,Forest,SRDB,China,730.25,11.61999364
327,103.63,30,600,Forest,SRDB,China,585,17.34999351
328,112.6,23.17,250,Forest,SRDB,China,991.5,22.72999339
329,102,30,NA,Shrubland,SRDB,China,554.333333333333,2.309993845
330,112.5,23.17,350,Forest,SRDB,China,1126.7,21.1457077057143
331,112.23,29.49,NA,Wetland,SRDB,China,580.093333333333,17.5999935
332,121.12,31.2,NA,Cropland,SRDB,China,742,17.28999351
333,117.91,24.4,NA,Wetland,SRDB,China,650,21.73999341
334,117.92,29.13,170,Forest,SRDB,China,494,17.40999351
335,112.37,37.73,NA,Grassland,SRDB,China,1519.8,7.173993736
336,108.88,18.73,870,Forest,SRDB,China,1673,18.85999347
337,108.87,18.73,880,Forest,SRDB,China,1510,18.85999347
338,111.3,30.8,950,Forest,SRDB,China,773.333333333333,17.17999351
339,109.53,26.42,1353,Forest,SRDB,China,795,15.40999355
340,109.53,26.42,1353,Shrubland,SRDB,China,657.5,15.40999355
341,101.83,29.42,NA,Forest,SRDB,China,775.5,3.099993827
342,101.83,29.42,NA,Shrubland,SRDB,China,1135,3.099993827
343,114.25,37.9,387,Shrubland,SRDB,China,464.1,12.92999361
344,114.26,37.9,381,Forest,SRDB,China,648.5,12.92999361
345,105.85,34.25,1650,Forest,SRDB,China,428.85,6.809993744
346,103.6,29.5,NA,Forest,SRDB,China,427,18.83999348
347,121.5,31.67,NA,Cropland,SRDB,China,1010,NaN
348,121.5,31.67,NA,Forest,SRDB,China,1007,NaN
349,104.67,35.2,1200,Grassland,SRDB,China,254.833333333333,7.85499372083333
350,115.94,40.37,535,Forest,SRDB,China,838,8.399993709
351,109.6,26.8,NA,Forest,SRDB,China,511,15.63999355
352,113.83,29.67,161,Forest,SRDB,China,897,16.50999353
353,101.27,21.92,568,Forest,SRDB,China,770.5,22.74499339
354,121.96,31.53,NA,Wetland,SRDB,China,487.783333333333,NaN
355,113.35,23.17,NA,Forest,SRDB,China,1118,21.97999341
356,115.53,39.96,1050,Forest,SRDB,China,237,7.949993719
357,117.9,24.38,NA,Forest,SRDB,China,188,22.2999934
358,102.7,31.78,3215,Forest,SRDB,China,955.333333333333,-2.810006041
359,120.15,30.23,NA,Cropland,SRDB,China,430,17.35999351
360,118.72,32.2,NA,Forest,SRDB,China,878.2,16.2866602
361,107.67,35.22,1095,Cropland,SRDB,China,608.427142857143,11.6442793485714
362,103.9,31.62,NA,Forest,SRDB,China,578.7875,9.609993682
363,114.27,37.88,350,Forest,SRDB,China,639.565,12.77999361
364,114.27,37.88,350,Shrubland,SRDB,China,484,12.92999361
365,114.27,37.88,350,Grassland,SRDB,China,704,12.92999361
366,103.23,29.7,600,Forest,SRDB,China,427.815,18.18499349
367,110,27,NA,Forest,SRDB,China,439,18.07999349
368,107.68,35.23,280,Cropland,SRDB,China,511,10.19999367
369,120.43,30.42,200,Forest,SRDB,China,755,17.18999351
370,105.03,32.53,1300,Desert,SRDB,China,69.5,13.65999359
371,121.97,31.63,NA,Wetland,SRDB,China,1157,NaN
372,119.23,30.2,NA,Forest,SRDB,China,571,16.27999353
373,117.97,26.8,NA,Forest,SRDB,China,837,19.3699934633333
374,121.65,29.87,200,Forest,SRDB,China,947.935,17.25999351
375,116.42,40.08,NA,Forest,SRDB,China,1462,12.58999362
376,109.53,36.39,1395,Forest,SRDB,China,987.333333333333,8.009993717
377,106.8,22.08,NA,Forest,SRDB,China,1816,22.4199934
378,116.8,42.18,1324,Grassland,SRDB,China,720,3.00443827388889
379,107.12,26.97,1250,Forest,SRDB,China,844.29,13.63999359
380,106.98,27.05,1250,Forest,SRDB,China,779.95,14.07999358
381,106.85,26.88,1225,Forest,SRDB,China,949.87,13.65999359
382,105.03,37.53,1330,Shrubland,SRDB,China,176.72,9.179993691
383,112.51,23.15,200,Forest,SRDB,China,1484.83333333333,22.61999339
384,119.61,26.07,450,Forest,SRDB,China,1029.34,20.58999344
385,112.55,37.87,1019,Shrubland,SRDB,China,1085.5,11.54999364
