NO,Scale,Lon,Lat,Eco,flux,Observed temperature,T,LAI,SWC,SOC,MAT,TT
166,Yearly,118.24,29.35,Forest,274.81,15.19999356,5,4.979555556,0.087539413,1.16,16.00630933,5Y
167,Yearly,118.23,29.35,Forest,441.265,15.19999356,5,4.979555556,0.087539413,1.16,16.00630933,5Y
168,Yearly,118.14,29.34,Forest,457.26,15.24999356,5,4.474444444,0.093288853,1.8,16.03841459,5Y
169,Yearly,118.14,29.33,Forest,437.37,15.24999356,5,4.474444444,0.093288853,1.8,16.03841459,5Y
170,Yearly,118.21,29.3,Forest,382.31,13.2399936,5,4.979555556,0.086244189,1.8,13.96209885,5Y
171,Yearly,118.19,29.28,Forest,448.35,13.03999361,5,5.138888889,0.088154712,1.8,13.75683569,5Y
172,Yearly,121.79,29.8,Forest,1283,15.96999354,5,4.061086957,0.540336354,3.07,16.39630932,5Y
173,Yearly,121.8,29.81,Forest,1077,17.10999351,5,1.717826087,0.534672094,3.07,17.52473035,5Y
174,Yearly,119.65,30.23,Forest,454.88375,17.7599935,5,3.016521739,0.095222161,1.12,17.10262509,5Y
175,Yearly,119.7,30.23,Forest,1067.47125,17.4321526,5,2.693097826,0.086893713,3.07,17.10262509,5Y
176,Yearly,119.84,30.25,Forest,598.38,17.37999351,5,2.816304348,0.051888815,3.07,17.48999351,5Y
177,Yearly,119.84,30.26,Forest,596.18,17.5199935,5,2.535434783,0.42169223,3.07,17.48999351,5Y
178,Yearly,119.78,30.22,Forest,1100.955,17.45999351,5,1.464565217,0.222100527,3.07,17.63262508,5Y
179,Yearly,119.43,30.33,Forest,1296.572,13.78599359,5,3.139347826,0.087439738,3.07,13.2299936,5Y
180,Yearly,102.35,29.23,Forest,974.2,14.91999356,5,3.301304348,0.069865639,1.8,14.58946725,5Y
181,Yearly,103,29.57,Forest,590.753,8.477993707,3,4.022956522,0.097320007,0.74,8.223151607,3Y
182,Yearly,103.45,30.73,Forest,1083.47,14.90999356,5,3.732391304,0.057924095,1.08,15.15315145,5Y
183,Yearly,103.03,30.93,Forest,794.32,3.099993827,2,1.928,0.047798746,0.74,2.511046472,2Y
184,Yearly,103.62,30.98,Forest,750.3425,16.15999354,5,3.626739131,0.06938039,0.86,16.10999354,5Y
185,Yearly,105.47,31.27,Forest,562.6833333,17.78777128,5,1.065193237,0.10246802,0.75,17.37525667,5Y
186,Yearly,102.93,31.3,Forest,1067.634,-6.694005954,1,2.090478261,0.069433824,3.02,-5.696321766,1Y
187,Yearly,94.39,29.71,Forest,976,-0.1400061,1,2.656086957,0.071239442,0.98,0.245257049,1Y
188,Yearly,106.34,29.78,Forest,845.0536364,18.90272075,5,2.445999121,0.102330496,1.16,18.77157242,5Y
189,Yearly,110.66,30.91,Forest,714.6066667,14.42999357,5,2.502888889,0.079540706,1.45,14.60051989,5Y
190,Yearly,110.49,31.33,Forest,466.81,7.559993728,3,3.5725,0.070913086,0.74,7.248414787,3Y
191,Yearly,110.49,31.32,Forest,627.03,7.559993728,3,3.5725,0.070913086,0.74,7.248414787,3Y
192,Yearly,111.22,32.75,Forest,1107.56,14.67666023,5,0.664927537,0.190314829,1.2,14.93367777,5Y
193,Yearly,118.15,33.7,Forest,974,15.42999355,5,1.057173913,0.247354503,0.97,15.66157249,5Y
194,Yearly,106.83,34.33,Forest,815.4533333,11.01999365,4,2.93673913,0.072451872,0.7,11.04999365,4Y
195,Yearly,107.67,35.22,Forest,750.8888889,11.31221587,4,0.720217928,0.070170076,0.65,11.12525681,4Y
196,Yearly,109.53,36.42,Forest,990.5027273,8.486357343,3,0.911106719,0.049387469,0.65,8.696309492,3Y
197,Yearly,109.42,36.42,Forest,1021.611429,9.297136546,3,0.924565217,0.070573583,0.79,9.601572629,3Y
198,Yearly,109.32,36.85,Forest,524.73,8.999993695,3,0.453913043,0.064976991,0.6,9.275256847,3Y
